,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,29.41,27.68,38.89,34.84,46.91,30.96,37.88,30.71,32.61
Expenses,26.43,23.48,33.91,28.03,43.57,30.06,32.4,23.82,28.13
Operating Profit,2.98,4.2,4.98,6.81,3.34,0.9,5.48,6.89,4.48
OPM %,10.13,15.17,12.81,19.55,7.12,2.91,14.47,22.44,13.74
Other Income,0.19,0.67,-0.06,0.13,0.12,0.35,0.54,0.2,0.25
Interest,3.59,3.53,3.56,4.16,3.24,3.2,3.13,2.56,3.08
Depreciation,1.61,2.84,2.24,1.22,1.79,2.48,2.71,2.72,2.72
Profit before tax,-2.03,-1.5,-0.88,1.56,-1.57,-4.43,0.18,1.81,-1.07
Tax %,0.0,-17.33,-22.73,27.56,-7.01,13.09,-166.67,13.81,-37.38
Net Profit,-2.02,-1.76,-1.08,1.13,-1.68,-3.85,0.48,1.55,-1.48
EPS in Rs,-0.86,-0.75,-0.46,0.48,-0.72,-1.54,0.19,0.62,-0.59
