,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,57.09,73.73,77.87,68.59,63.32
Expenses,49.74,61.74,73.52,55.6,51.95
Operating Profit,7.35,11.99,4.35,12.99,11.37
OPM %,12.87,16.26,5.59,18.94,17.96
Other Income,0.79,0.07,0.47,0.73,0.45
Interest,7.22,7.92,6.55,6.3,5.64
Depreciation,4.45,3.45,4.27,5.43,5.44
Profit before tax,-3.53,0.69,-6.0,1.99,0.74
Tax %,-7.37,91.3,7.83,-2.01,
Net Profit,-3.79,0.05,-5.53,2.03,0.07
EPS in Rs,-1.62,0.02,-2.21,0.81,0.03
