,Mar 2010,Mar 2011,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.7,-0.04,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.76,0.16,0.06,0.03,0.05,0.07,0.14,0.22,0.23,0.16,0.17,0.20,1.03
Operating Profit,-0.06,-0.20,-0.03,0.0,-0.03,-0.07,-0.14,-0.22,-0.23,-0.16,-0.17,-0.20,-1.03
OPM %,-8.57,,-100.0,0.0,-150.0,,,,,,,,
Other Income,0.41,0.20,0.0,0.0,-0.04,0.09,0.03,1.75,0.02,0.00,0.00,-0.15,-0.19
Interest,0.0,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02
Depreciation,0.2,0.17,0.11,0.1,0.07,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.0
Profit before tax,0.15,-0.17,-0.14,-0.1,-0.14,0.01,-0.12,1.52,-0.21,-0.16,-0.19,-0.37,-1.24
Tax %,0.0,11.76,7.14,50.0,0.0,100.00,-8.33,-3.29,0.00,0.00,0.00,0.00,
Net Profit,0.15,-0.15,-0.13,-0.06,-0.14,-0.01,-0.13,1.57,-0.21,-0.15,-0.19,-0.37,-1.24
EPS in Rs,0.15,-0.15,-0.13,-0.06,-0.14,-0.01,-0.13,1.59,-0.21,-0.15,-0.19,-0.37,-1.25
