,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,7,7
Reserves,6,8,12,25,28
Borrowings,24,25,28,27,29
Other Liabilities,10,9,7,7,11
Total Liabilities,45,47,53,66,75
Fixed Assets,3,3,3,8,8
CWIP,3,3,4,1,1
Investments,0,0,0,0,0
Other Assets,39,40,46,58,65
Total Assets,45,47,53,66,75
