,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,71.72,71.72,71.72,71.72,71.72,71.72,71.72,71.72
FIIs,0.0,0.0,0.0,0.0,0.04,0.4,1.46,2.42
Public,28.28,28.28,28.28,28.28,28.24,27.88,26.82,25.85
No. of Shareholders,2621.0,2801.0,2487.0,2645.0,3176.0,5872.0,6299.0,6404.0
