,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,8,8,12,12,12
Reserves,1,7,10,11,49,56
Borrowings,20,26,26,74,43,47
Other Liabilities,73,231,179,153,137,238
Total Liabilities,99,272,223,251,241,354
Fixed Assets,26,25,24,13,14,14
CWIP,0,0,0,0,0,0
Investments,0,0,0,0,0,0
Other Assets,73,247,199,238,227,340
Total Assets,99,272,223,251,241,354
