,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.14,6.73,12.01,11.02,4.97,11.51
Expenses,7.25,6.69,12.08,10.78,4.99,11.89
Operating Profit,-0.11,0.04,-0.07,0.24,-0.02,-0.38
OPM %,-1.54,0.59,-0.58,2.18,-0.40,-3.3
Other Income,0.08,0.07,0.0,-0.12,0.03,0.0
Interest,0.0,0.0,0.0,0.0,0.00,0.0
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.04,0.1,-0.08,0.11,0.00,-0.39
Tax %,-100.0,0.0,-12.5,27.27,,0.0
Net Profit,-0.07,0.1,-0.09,0.09,0.00,-0.39
EPS in Rs,-0.58,0.83,-0.74,0.55,0.00,-0.84
