,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,1.21,1.21,1.65,4.67
Reserves,-0.01,-0.01,-0.01,0.04,4.96,4.97,6.8100000000000005,17.0
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.88,0.12,1.87,2.8200000000000003,0.46,11.53,0.13,4.86
Total Liabilities,0.88,0.12,1.87,2.87,6.63,17.71,8.59,26.53
Fixed Assets,0.0,0.0,0.0,0.02,0.04,0.04,0.03,0.25
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.88,0.12,1.87,2.85,6.59,17.67,8.56,26.28
Total Assets,0.88,0.12,1.87,2.87,6.63,17.71,8.59,26.53
