,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,0.0,0.0,158.88,93.20,267.42,7.3
Inventory Days,435.97,30.99,1250.46,0.00,0.00,55.32,165.82
Days Payable,446.11,41.32,1263.98,,,226.81,1.18
Cash Conversion Cycle,-10.14,-10.33,-13.52,158.88,93.20,95.92,171.94
Working Capital Days,-10.0,-10.14,-13.27,-14.11,196.79,116.28,189.23
ROCE %,,,,320.00,5.14,0.32,3.83
