,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.73,1.08,0.55,5.95,11.24,18.74,15.99,16.48
Expenses,0.73,1.08,0.55,5.87,11.15,18.77,15.76,16.88
Operating Profit,0.00,0.00,0.00,0.08,0.09,-0.03,0.23,-0.40
OPM %,0.00,0.00,0.00,1.34,0.8,-0.16,1.44,-2.43
Other Income,0.00,0.00,0.00,0.0,0.08,0.07,-0.1,0.03
Interest,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00
Depreciation,0.00,0.00,0.00,0.0,0.01,0.02,0.01,0.02
Profit before tax,0.00,0.00,0.00,0.08,0.16,0.02,0.12,-0.39
Tax %,,,,37.5,25.0,50.0,25.0,
Net Profit,0.00,0.00,0.00,0.05,0.12,0.01,0.09,-0.39
EPS in Rs,0.00,0.00,0.00,50.0,0.99,0.08,0.55,-0.84
