,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.24,15.5,27.47,27.5,26.62,36.01,48.09,61.24,58.57,48.27,46.28,36.2,32.85
Expenses,8.35,15.47,26.0,25.83,24.8,33.26,43.36,55.61,55.04,45.66,43.54,35.57,32.03
Operating Profit,-0.11,0.03,1.47,1.67,1.82,2.75,4.73,5.63,3.53,2.61,2.74,0.63,0.82
OPM %,-1.33,0.19,5.35,6.07,6.84,7.64,9.84,9.19,6.03,5.41,5.92,1.74,2.50
Other Income,0.16,0.67,0.04,0.03,0.27,0.24,0.19,0.24,-0.39,0.25,0.31,0.43,0.48
Interest,0.24,0.3,0.41,0.42,0.47,0.22,0.55,0.61,0.84,-0.09,0.41,0.31,0.19
Depreciation,0.02,0.02,0.06,0.1,0.13,0.36,0.48,0.56,0.71,0.73,0.75,0.78,0.79
Profit before tax,-0.21,0.38,1.04,1.18,1.49,2.41,3.89,4.7,1.59,2.22,1.89,-0.03,0.32
Tax %,0.0,0.0,25.0,27.12,34.23,24.9,30.59,27.87,45.28,32.88,24.87,-533.33,
Net Profit,-0.2,0.38,0.78,0.86,0.98,1.81,2.7,3.39,0.87,1.48,1.42,-0.19,0.14
EPS in Rs,-0.24,0.44,0.88,0.97,1.07,1.98,2.96,3.71,0.95,1.62,1.56,-0.21,0.15
