,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,8.0,9.3
Reserves,0.01,0.01,0.01,0.02,0.06,0.0,0.0,0.44,0.46,7.38,8.38
Borrowings,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.24,0.2
Other Liabilities,0.0,0.06,0.03,0.01,0.1,0.01,0.33,0.51,0.61,0.71,0.38
Total Liabilities,0.21,3.27,3.24,3.23,3.36,3.31,3.63,4.25,4.37,16.33,18.26
Fixed Assets,0.0,0.0,0.0,0.25,0.0,0.02,0.03,0.1,0.15,1.51,1.29
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.19,0.0,0.7000000000000001,0.5,0.0,0.0,0.0,0.0,0.03,8.13,9.58
Other Assets,0.02,3.27,2.54,2.48,3.36,3.29,3.6,4.15,4.19,6.69,7.39
Total Assets,0.21,3.27,3.24,3.23,3.36,3.31,3.63,4.25,4.37,16.33,18.26
