,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.36,1.00,0.77,1.42,0.05,0.43,1.28,1.54,2.19,2.57
Expenses,0.0,1.46,1.09,0.87,1.37,0.13,0.43,0.68,1.41,1.21,1.15
Operating Profit,0.0,-0.1,-0.09,-0.1,0.05,-0.08,0.00,0.6,0.13,0.98,1.42
OPM %,,-7.35,-9.00,-12.99,3.52,-160.0,0.00,46.88,8.44,44.75,55.25
Other Income,0.0,0.15,0.13,0.11,0.01,0.02,0.00,0.0,-0.03,-0.06,0.00
Interest,0.0,0.0,0.04,0.0,0.0,0.0,0.00,0.0,0.02,0.03,0.00
Depreciation,0.0,0.03,0.00,0.0,0.0,0.0,0.00,0.0,0.06,0.22,0.41
Profit before tax,0.0,0.02,0.00,0.01,0.06,-0.06,0.00,0.6,0.02,0.67,1.01
Tax %,,100.0,,0.0,33.33,0.0,,25.0,0.0,25.37,
Net Profit,0.0,0.0,0.00,0.01,0.04,-0.06,0.00,0.44,0.02,0.5,0.62
EPS in Rs,0.0,0.0,0.00,0.02,0.06,-0.09,0.00,0.69,0.03,0.37,0.57
