,2022-09-01,2023-09-01
Sales,23.76,26.1
Expenses,16.28,19.43
Operating Profit,7.48,6.67
OPM %,31.48,25.56
Other Income,0.02,0.05
Interest,0.92,1.21
Depreciation,2.26,1.64
Profit before tax,4.32,3.87
Tax %,17.36,18.86
Net Profit,3.57,3.14
EPS in Rs,5.1,3.7
