,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,22.05,34.62,50.79,51.0
Expenses,15.69,26.76,39.74,35.53
Operating Profit,6.36,7.86,11.05,15.47
OPM %,28.84,22.7,21.76,30.33
Other Income,0.04,0.04,0.05,0.15
Interest,1.66,1.54,1.39,2.3
Depreciation,2.32,3.06,3.88,4.57
Profit before tax,2.42,3.3,5.83,8.75
Tax %,15.7,26.36,26.42,24.34
Net Profit,2.04,2.43,4.29,6.63
EPS in Rs,2.91,3.47,6.13,9.47
