,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,4,-24
Cash from Investing Activity,,,-2,-7
Cash from Financing Activity,,,-2,41
Net Cash Flow,,,-1,9
