,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,12,12,12,12,12,12,12,12,13,13
Reserves,0,208,233,286,344,416,489,561,642,956,1012
Borrowings,0,393,365,298,252,270,294,307,398,628,949
Other Liabilities,0,230,260,194,216,229,309,291,324,450,528
Total Liabilities,0,842,871,791,823,927,1104,1172,1376,2046,2503
Fixed Assets,0,328,353,324,331,330,429,413,468,517,884
CWIP,0,9,4,5,1,22,17,18,9,380,461
Investments,0,0,0,0,0,0,0,106,161,242,181
Other Assets,0,505,514,462,492,575,658,634,739,907,976
Total Assets,0,842,871,791,823,927,1104,1172,1376,2046,2503
