,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,118,116,185,109,64,96,213,71,175
Cash from Investing Activity,0,-100,-53,-22,-38,-57,-54,-154,-136,-541
Cash from Financing Activity,0,-12,-63,-160,-69,-6,-22,-71,62,366
Net Cash Flow,0,5,0,3,2,1,20,-12,-3,0
