,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,26,28,32,35,36,36,42,45,45
Reserves,116,118,166,263,219,253,276,389,421,423
Borrowings,31,92,93,161,171,218,189,30,146,76
Other Liabilities,105,120,145,140,352,291,425,674,898,1215
Total Liabilities,262,355,433,596,777,798,926,1136,1511,1759
Fixed Assets,3,10,10,10,10,9,9,43,46,52
CWIP,0,0,11,12,14,20,39,13,17,16
Investments,0,0,2,2,2,1,1,0,83,150
Other Assets,259,345,410,572,752,767,876,1080,1364,1541
Total Assets,262,355,433,596,777,798,926,1136,1511,1759
