,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,58.26,47.92,76.21,90.21,89.32,83.92,96.17,92.68,110.43
Expenses,56.44,46.42,74.06,87.75,85.9,80.87,92.39,88.81,105.12
Operating Profit,1.82,1.5,2.15,2.46,3.42,3.05,3.78,3.87,5.31
OPM %,3.12,3.13,2.82,2.73,3.83,3.63,3.93,4.18,4.81
Other Income,0.0,-0.05,0.09,0.02,0.03,0.15,0.07,0.02,0.08
Interest,0.27,0.47,0.4,0.51,0.71,0.75,0.79,0.92,1.03
Depreciation,0.08,0.09,0.18,0.17,0.18,0.19,0.19,0.15,0.16
Profit before tax,1.47,0.89,1.66,1.8,2.56,2.26,2.87,2.82,4.2
Tax %,25.17,17.98,26.51,25.0,26.17,25.22,25.09,25.18,25.48
Net Profit,1.1,0.73,1.23,1.35,1.89,1.69,2.15,2.11,3.13
EPS in Rs,0.92,0.61,1.02,1.12,1.58,1.41,1.79,1.76,2.61
