,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,44.38,51.17,64.15,68.28,61.75,104.31,206.03,152.71,98.18,107.45,95.4,66.11,74.55
Expenses,41.24,49.0,62.69,66.01,53.99,87.25,175.97,127.18,81.2,84.98,80.34,63.95,72.52
Operating Profit,3.14,2.17,1.46,2.27,7.76,17.06,30.06,25.53,16.98,22.47,15.06,2.16,2.03
OPM %,7.08,4.24,2.28,3.32,12.57,16.36,14.59,16.72,17.29,20.91,15.79,3.27,2.72
Other Income,0.85,-0.56,0.41,0.21,2.74,0.06,0.04,-15.08,1.26,1.18,1.03,0.34,-0.37
Interest,0.21,0.28,0.34,0.33,0.18,0.18,0.21,0.13,1.57,0.06,0.1,0.67,1.09
Depreciation,1.23,2.24,2.27,0.12,3.21,2.69,3.25,4.54,4.71,5.13,2.19,2.36,2.64
Profit before tax,2.55,-0.91,-0.74,2.03,7.11,14.25,26.64,5.78,11.96,18.46,13.8,-0.53,-2.07
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,22.1,17.9,43.4,
Net Profit,2.55,-0.91,-0.74,2.03,7.1,14.25,26.64,5.78,10.3,14.37,11.34,-0.3,-1.44
EPS in Rs,1.16,-0.41,-0.34,0.92,2.82,5.5,9.25,2.01,3.58,4.99,3.94,-0.1,-0.51
