,2023-09-01
Depreciation,0.37
EPS in Rs,9.85
Expenses,15.39
Interest,0.77
Net Profit,6.24
OPM %,37.87
Operating Profit,9.38
Other Income,0.02
Profit before tax,8.26
Sales,24.77
Tax %,24.46
