,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,7.43,7.86,8.69,4.87,24.88,34.44
Expenses,6.48,8.39,8.09,5.14,22.52,28.08
Operating Profit,0.95,-0.53,0.60,-0.27,2.36,6.36
OPM %,12.79,-6.74,6.90,-5.54,9.49,18.47
Other Income,0.55,1.88,0.35,1.28,0.00,1.12
Interest,0.68,0.77,0.66,0.73,0.40,0.71
Depreciation,0.79,0.54,0.24,0.26,0.92,1.04
Profit before tax,0.03,0.04,0.05,0.02,1.04,5.73
Tax %,33.33,0.00,0.00,50.00,55.77,23.56
Net Profit,0.03,0.05,0.06,0.02,0.47,4.37
EPS in Rs,,,,,,
