,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.18,1.18,1.18,1.18,1.18,1.18,6.33
Reserves,-0.23,-0.19,-0.13,-0.11,0.35,4.73,32.89
Borrowings,4.5,5.02,4.61,4.99,3.49,6.08,10.4
Other Liabilities,1.02,2.09,1.46,1.92,3.23,7.14,16.44
Total Liabilities,6.47,8.1,7.12,7.98,8.25,19.13,66.06
Fixed Assets,1.9,1.56,1.54,2.8,4.17,3.91,4.99
CWIP,0.0,0.0,0.0,0.0,0.0,2.32,1.06
Investments,0.02,0.02,0.02,0.02,0.02,0.02,1.44
Other Assets,4.55,6.52,5.5600000000000005,5.16,4.06,12.88,58.57
Total Assets,6.47,8.1,7.12,7.98,8.25,19.13,66.06
