,2023-03-01,2023-09-01
Equity Capital,12.29,12.29
Reserves,26.51,30.19
Borrowings,11.34,10.95
Other Liabilities,53.61,40.93
Total Liabilities,103.75,94.36
Fixed Assets,22.81,22.77
CWIP,11.63,11.79
Investments,6.24,8.5
Other Assets,63.07,51.3
Total Assets,103.75,94.36
