,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9.83,11.6,17.78,28.18,18.39,12.33
Expenses,7.89,9.65,15.73,26.09,16.42,11.5
Operating Profit,1.94,1.95,2.05,2.09,1.97,0.83
OPM %,19.74,16.81,11.53,7.42,10.71,6.73
Other Income,0.18,0.55,0.49,2.27,1.51,1.07
Interest,0.15,0.16,0.16,0.22,0.26,0.26
Depreciation,0.24,0.25,0.25,0.53,0.29,0.3
Profit before tax,1.73,2.09,2.13,3.61,2.93,1.34
Tax %,24.86,21.05,26.29,19.94,13.99,11.19
Net Profit,1.3,1.65,1.57,2.89,2.52,1.19
EPS in Rs,1.16,1.34,1.28,2.35,2.05,0.95
