,Mar 2023,TTM
Sales,67.38,76.68
Expenses,59.35,69.74
Operating Profit,8.03,6.94
OPM %,11.92,9.05
Other Income,3.49,5.34
Interest,0.7,0.90
Depreciation,1.26,1.37
Profit before tax,9.56,10.01
Tax %,22.59,
Net Profit,7.41,8.17
EPS in Rs,6.03,6.63
