,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.62,50.62,54.34,54.34,54.34,54.28,40.99,26.49
Public,49.38,49.38,45.66,45.66,45.66,45.72,59.02,73.51
No. of Shareholders,928.0,919.0,920.0,917.0,924.0,2516.0,3134.0,4066.0
