,2021-03-01,2022-03-01,2023-03-01
Equity Capital,12,62,67
Reserves,111,78,867
Borrowings,92,89,125
Other Liabilities,99,98,70
Total Liabilities,314,327,1128
Fixed Assets,1,1,1
CWIP,0,0,0
Investments,56,29,683
Other Assets,257,297,444
Total Assets,314,327,1128
