,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,365.0,224.62,137.89,144.74
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,365.0,224.62,137.89,144.74
Working Capital Days,6205.0,6134.81,4258.33,3410.86
ROCE %,,-7.24,-4.44,-1.09
