,2011-03-01,2012-09-01,2013-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,34,34,34,34,34,34,34,34,34,34,34,30
Reserves,513,430,330,228,205,163,146,125,114,60,32,498
Borrowings,587,295,700,625,705,723,669,720,1045,1090,1154,0
Other Liabilities,547,1058,811,693,728,726,634,601,406,395,398,222
Total Liabilities,1682,1817,1875,1579,1672,1646,1483,1480,1600,1578,1619,750
Fixed Assets,444,374,323,267,258,248,239,234,227,223,218,199
CWIP,43,16,13,14,14,14,14,14,12,12,12,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,1194,1428,1539,1298,1400,1384,1230,1233,1361,1344,1388,551
Total Assets,1682,1817,1875,1579,1672,1646,1483,1480,1600,1578,1619,750
