,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.99,4.7,5.87,1.97,10.55,18.07,29.37,29.47,35.84
Expenses,4.5,4.07,4.83,4.73,5.87,12.6,17.15,18.99,24.46
Operating Profit,1.49,0.63,1.04,-2.76,4.68,5.47,12.22,10.48,11.38
OPM %,24.87,13.4,17.72,-140.1,44.36,30.27,41.61,35.56,31.75
Other Income,0.0,0.0,0.01,-0.56,0.02,0.01,0.05,0.1,0.15
Interest,0.25,0.07,0.12,0.18,0.47,0.36,0.65,0.76,1.52
Depreciation,0.15,0.11,0.1,0.28,0.32,0.24,0.75,1.12,1.50
Profit before tax,1.09,0.45,0.83,-3.78,3.91,4.88,10.87,8.7,8.51
Tax %,34.86,22.22,32.53,31.22,32.23,93.44,20.42,26.67,
Net Profit,0.7,0.36,0.57,-2.6,2.65,0.31,8.64,6.38,6.37
EPS in Rs,0.2,0.1,0.16,-0.74,0.76,0.09,2.47,1.82,1.82
