,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Reserves,33.49,33.77,34.34,31.75,34.64,34.95,43.74,50.2,54.05
Borrowings,0.0,0.0,0.0,0.0,0.84,1.47,2.2,1.56,1.81
Other Liabilities,10.04,2.97,5.85,12.96,17.18,18.97,44.15,41.23,67.81
Total Liabilities,50.53,43.74,47.19,51.71,59.66,62.39,97.09,99.99,130.67
Fixed Assets,0.36,0.3,3.58,0.63,0.58,1.05,1.24,4.93,4.51
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.62,0.62,0.62,0.59,1.03,0.8300000000000001,10.09,1.67,4.73
Other Assets,49.55,42.82,42.99,50.49,58.05,60.51,85.76,93.39,121.43
Total Assets,50.53,43.74,47.19,51.71,59.66,62.39,97.09,99.99,130.67
