,Mar 2023,TTM
Sales,99.0,105
Expenses,91.0,98
Operating Profit,9.0,6
OPM %,9.0,6
Other Income,1.0,1
Interest,1.0,0
Depreciation,3.0,3
Profit before tax,6.0,4
Tax %,25.0,
Net Profit,5.0,3
EPS in Rs,4.59,3.12
