,2023-03-01,2023-09-01
Equity Capital,11,11
Reserves,30,44
Borrowings,0,4
Other Liabilities,14,10
Total Liabilities,55,69
Fixed Assets,21,26
CWIP,2,2
Investments,15,6
Other Assets,17,35
Total Assets,55,69
