,2023-09-01
Depreciation,0.5
EPS in Rs,3.22
Expenses,35.67
Interest,0.98
Net Profit,3.31
OPM %,13.84
Operating Profit,5.73
Other Income,0.04
Profit before tax,4.29
Sales,41.4
Tax %,22.84
