,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,2.75,2.75,3.0,3.0,7.5,10.27
Reserves,-2.52,-2.41,-2.47,-1.7000000000000002,-0.02,0.61,24.62
Borrowings,4.12,2.76,6.37,7.29,9.05,14.5,16.04
Other Liabilities,0.58,1.9,1.82,3.27,7.25,7.05,16.3
Total Liabilities,2.19,5.0,8.47,11.86,19.28,29.66,67.23
Fixed Assets,0.41,0.66,0.72,2.49,5.09,5.73,8.86
CWIP,0.0,0.0,1.38,0.0,0.38,1.37,0.89
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.78,4.34,6.37,9.37,13.81,22.56,57.48
Total Assets,2.19,5.0,8.47,11.86,19.28,29.66,67.23
