,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,122.91,47.42,43.51,35.06,22.1,27.42
Inventory Days,110.91,180.0,302.46,212.67,139.78,155.76
Days Payable,80.66,108.33,148.67,103.02,105.7,39.23
Cash Conversion Cycle,153.16,119.08,197.3,144.71,56.18,143.95
Working Capital Days,186.22,112.12,229.96,137.33,67.79,90.36
ROCE %,,10.19,5.13,19.42,23.18,46.59
