,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24
Reserves,19.79,19.87,19.88,20.06,20.22,20.46,20.76,20.75,20.97,21.17,22.06
Borrowings,3.51,2.34,1.82,1.6800000000000002,1.48,1.27,0.77,0.75,0.1,0.01,0.01
Other Liabilities,0.97,0.81,0.39,0.39,0.35,0.33,0.33,0.32,0.32,2.39,0.72
Total Liabilities,31.51,30.26,29.33,29.37,29.29,29.3,29.1,29.06,28.63,30.81,30.03
Fixed Assets,27.84,27.45,27.99,27.73,27.41,27.09,26.78,26.46,26.14,25.82,21.95
CWIP,0.32,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.35,2.43,1.34,1.64,1.88,2.21,2.32,2.6,2.49,4.99,4.37
Total Assets,31.51,30.26,29.33,29.37,29.29,29.3,29.1,29.06,28.63,30.81,30.03
