,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.89,2.18,0.65,0.73,0.76,0.77,0.97,0.48,0.76,1.03,3.29
Expenses,1.4,1.61,0.25,0.14,0.22,0.16,0.26,0.16,0.18,0.41,1.65
Operating Profit,0.49,0.57,0.4,0.59,0.54,0.61,0.71,0.32,0.58,0.62,1.64
OPM %,25.93,26.15,61.54,80.82,71.05,79.22,73.2,66.67,76.32,60.19,49.85
Other Income,0.02,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.04,0.04,0.03
Interest,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.16,0.1,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12
Profit before tax,0.35,0.53,0.32,0.51,0.44,0.54,0.61,0.25,0.49,0.53,1.55
Tax %,28.57,32.08,37.5,27.45,18.18,20.37,19.67,24.0,18.37,24.53,
Net Profit,0.25,0.36,0.2,0.37,0.35,0.42,0.49,0.19,0.4,0.39,1.14
EPS in Rs,0.35,0.5,0.28,0.51,0.48,0.58,0.68,0.26,0.55,0.54,1.57
