,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,28,28,28,28,28,28,14,14,14,15,16,16.0
Reserves,110,120,125,138,143,147,100,108,113,94,123,124.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,63,96,81,88,98,125,158,171,322,322,354,383.0
Other Liabilities,43,41,61,45,73,76,16,32,19,18,86,79.0
Total Liabilities,244,285,295,298,342,375,288,325,468,449,580,601.0
Fixed Assets,74,161,194,208,217,243,231,104,391,361,485,472.0
CWIP,51,37,28,20,40,24,0,0,0,3,5,6.0
Investments,65,29,0,0,1,1,0,0,0,0,0,0.0
Other Assets,54,58,73,70,85,108,57,221,77,84,90,123.0
Total Assets,244,285,295,298,342,375,288,325,468,449,580,601.0
