,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,29.0,20,16,13,18,14,42.0,26,55,26,14
Inventory Days,,17,,,26,54,,,,,
Days Payable,,1685,,,411,443,,,,,
Cash Conversion Cycle,29.0,-1648,16,13,-367,-375,42.0,26,55,26,14
Working Capital Days,-6.0,56,36,40,-54,-20,385.0,70,169,41,-95
ROCE %,,11,8,8,6,8,,10,8,-1,1
