,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.61,12.63,15.76,18.39,20.44,23.69,47.9,57.7,65.02
Expenses,8.98,13.98,16.08,20.53,23.2,24.15,44.73,54.53,61.24
Operating Profit,0.63,-1.35,-0.32,-2.14,-2.76,-0.46,3.17,3.17,3.78
OPM %,6.56,-10.69,-2.03,-11.64,-13.5,-1.94,6.62,5.49,5.81
Other Income,0.15,0.07,0.11,0.36,0.37,-0.14,0.77,0.51,0.47
Interest,0.44,1.03,2.48,2.53,3.59,4.97,3.44,1.1,1.17
Depreciation,3.98,4.02,4.39,4.44,4.4,4.23,4.46,4.83,4.94
Profit before tax,-3.64,-6.33,-7.08,-8.75,-10.38,-9.8,-3.96,-2.25,-1.86
Tax %,33.24,30.96,27.4,22.06,17.92,25.2,25.0,24.89,
Net Profit,-2.43,-4.38,-5.14,-6.82,-8.52,-7.33,-2.97,-1.69,-1.38
EPS in Rs,-0.6,-1.08,-1.27,-1.68,-2.1,-1.8,-0.73,-0.42,-0.34
