,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,6,6,6
Reserves,51,58,67,88,112,138,160,177,189
Borrowings,19,6,9,5,1,12,18,50,100
Other Liabilities,44,40,50,60,68,43,42,118,134
Total Liabilities,120,110,132,159,188,199,226,350,429
Fixed Assets,35,31,34,35,33,45,41,42,51
CWIP,0,0,0,1,12,0,26,99,141
Investments,0,1,1,1,0,43,11,0,0
Other Assets,85,79,98,121,142,111,148,209,236
Total Assets,120,110,132,159,188,199,226,350,429
