,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,124.0,111.0,137.0,220.0,228.0,205.0,212.0,218.0,240
Expenses,114.0,105.0,124.0,191.0,200.0,179.0,183.0,198.0,216
Operating Profit,10.0,7.0,12.0,29.0,28.0,25.0,29.0,20.0,24
OPM %,8.0,6.0,9.0,13.0,12.0,12.0,14.0,9.0,10
Other Income,5.0,8.0,7.0,13.0,11.0,9.0,7.0,12.0,8
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3
Depreciation,4.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6
Profit before tax,9.0,7.0,13.0,35.0,33.0,27.0,28.0,24.0,23
Tax %,31.0,8.0,29.0,39.0,26.0,25.0,25.0,33.0,
Net Profit,6.0,7.0,9.0,21.0,24.0,20.0,21.0,16.0,14
EPS in Rs,11.26,12.03,15.92,37.09,42.13,35.59,36.45,28.47,28.37
