,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,7,4,-25,60,19,-1,-20,4,-2,11,20,-7
Cash from Investing Activity,-8,-8,-7,0,0,0,0,1,2,3,2,1
Cash from Financing Activity,3,5,33,-61,-20,1,20,-4,-1,-14,-21,6
Net Cash Flow,2,0,0,-1,0,0,0,0,0,0,0,0
