,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.75,5.0,9.2,7.71,7.28,0.00,0.00,0.0
Expenses,25.72,4.48,8.26,7.08,7.29,0.18,0.15,0.26
Operating Profit,3.03,0.52,0.94,0.63,-0.01,-0.18,-0.15,-0.26
OPM %,10.54,10.4,10.22,8.17,-0.14,,,
Other Income,0.01,0.03,0.13,0.09,-1.22,0.00,0.01,0.01
Interest,0.59,0.08,0.08,0.07,0.01,0.01,0.00,0.0
Depreciation,0.91,0.88,0.72,0.62,0.49,0.06,0.05,0.13
Profit before tax,1.54,-0.41,0.27,0.03,-1.73,-0.25,-0.19,-0.38
Tax %,42.21,53.66,25.93,33.33,-1.16,0.00,0.00,
Net Profit,0.89,-0.19,0.2,0.03,-1.75,-0.25,-0.19,-0.38
EPS in Rs,1.92,-0.41,0.43,0.06,-3.74,-0.54,-0.41,-0.8200000000000001
