,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
Reserves,6.11,5.92,6.12,6.14,4.41,4.16,3.97,4.12
Preference Capital,0.44,0.44,0.44,0.44,0.44,0.44,0.0,
Borrowings,0.11,0.1,0.21,0.19,0.14,0.1,0.1,0.1
Other Liabilities,3.44,1.37,1.44,1.4,0.62,0.6000000000000001,0.59,0.17
Total Liabilities,14.29,12.02,12.4,12.36,9.8,9.49,9.29,9.02
Fixed Assets,8.85,7.75,7.2,6.58,3.8,3.73,3.69,3.6
CWIP,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,5.44,4.27,5.2,5.77,5.99,5.75,5.59,5.42
Total Assets,14.29,12.02,12.4,12.36,9.8,9.49,9.29,9.02
