,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,9.95,81.93,69.74,74.26,76.23,88.48
Expenses,0.34,9.29,77.57,64.97,69.25,70.97,83.23
Operating Profit,-0.34,0.66,4.36,4.77,5.01,5.26,5.25
OPM %,,6.63,5.32,6.84,6.75,6.9,5.93
Other Income,0.39,0.36,0.05,0.18,0.31,0.51,0.64
Interest,0.00,0.01,1.1,1.28,0.88,0.62,0.42
Depreciation,0.00,0.0,0.1,0.14,0.21,0.2,0.25
Profit before tax,0.05,1.01,3.21,3.53,4.23,4.95,5.22
Tax %,40.00,26.73,26.17,26.91,26.71,27.07,
Net Profit,0.03,0.74,2.36,2.58,3.1,3.61,3.77
EPS in Rs,0.09,2.28,7.26,7.94,9.54,3.61,3.77
