,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.25,3.25,3.25,3.25,3.25,10.0,10.0
Reserves,0.02,0.75,3.11,6.29,9.39,31.19,32.98
Borrowings,0.02,0.11,13.66,9.31,8.73,4.72,5.82
Other Liabilities,0.62,5.02,16.02,11.8,10.55,12.97,8.17
Total Liabilities,3.91,9.13,36.04,30.65,31.92,58.88,56.97
Fixed Assets,0.01,0.0,1.6800000000000002,2.35,2.36,2.5700000000000003,2.47
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.16,0.01,0.02,0.02
Other Assets,3.9,9.13,34.36,28.14,29.55,56.29,54.48
Total Assets,3.91,9.13,36.04,30.65,31.92,58.88,56.97
