,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.02,0.93,-13.82,5.82,3.85,-10.1
Cash from Investing Activity,0.0,0.0,0.0,-0.94,-1.3,-5.38
Cash from Financing Activity,0.0,0.09,13.42,-5.14,-1.2,20.41
Net Cash Flow,0.02,1.02,-0.4,-0.26,1.35,4.92
