,2018-05-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.95,3.01,3.01,3.01,3.01,3.01,3.01
Reserves,4.13,11.09,10.48,9.61,8.93,6.79,9.45
Borrowings,0.05,1.83,2.38,2.98,3.26,2.01,0.12
Other Liabilities,0.08,0.28,0.74,0.89,0.27,1.21,12.94
Total Liabilities,6.21,16.21,16.61,16.49,15.47,13.02,25.52
Fixed Assets,4.62,4.53,4.41,4.27,4.12,0.02,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.59,11.68,12.2,12.22,11.35,13.0,25.51
Total Assets,6.21,16.21,16.61,16.49,15.47,13.02,25.52
