,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.91,1.51,0.53,0.01,0.15,0.00,0.04,0.00,0.00,0.00
Expenses,2.66,1.23,1.04,0.12,0.28,0.15,0.36,0.11,1.78,0.04
Operating Profit,0.25,0.28,-0.51,-0.11,-0.13,-0.15,-0.32,-0.11,-1.78,-0.04
OPM %,8.59,18.54,-96.23,-1100.0,-86.67,,-800.0,,,
Other Income,0.0,0.0,0.0,0.0,0.0,0.00,0.1,0.00,0.07,1.72
Interest,0.03,0.13,0.15,0.17,0.31,0.14,0.16,0.16,0.01,0.00
Depreciation,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.00
Profit before tax,0.15,0.08,-0.74,-0.36,-0.52,-0.37,-0.46,-0.35,-1.80,1.68
Tax %,33.33,50.0,8.11,0.0,0.0,0.00,32.61,0.00,0.00,-58.93
Net Profit,0.09,0.04,-0.68,-0.36,-0.52,-0.37,-0.31,-0.35,-1.80,2.66
EPS in Rs,0.3,0.13,-2.26,-1.2,-1.73,-1.23,-1.03,-1.16,-5.98,8.84
