,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,49
Reserves,0,967,1002
Borrowings,0,108,69
Other Liabilities,0,359,398
Total Liabilities,0,1434,1519
Fixed Assets,0,545,794
CWIP,0,0,0
Investments,0,7,63
Other Assets,0,882,662
Total Assets,0,1434,1519
