,2022-03-01,2023-03-01
Sales,0,136
Expenses,0,61
Operating Profit,-0,75
OPM %,,55
Other Income,0,15
Interest,0,38
Depreciation,0,22
Profit before tax,-0,30
Tax %,0,6
Net Profit,-0,28
EPS in Rs,,
