,2022-09-01,2023-09-01
Sales,21.04,28.72
Expenses,18.52,24.96
Operating Profit,2.52,3.76
OPM %,11.98,13.09
Other Income,0.02,0.13
Interest,0.34,0.37
Depreciation,0.14,0.12
Profit before tax,2.06,3.4
Tax %,34.47,27.65
Net Profit,1.35,2.46
EPS in Rs,3.38,3.19
