,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,19.33,22.96,34.74,43.18
Expenses,17.26,20.61,30.58,37.59
Operating Profit,2.07,2.35,4.16,5.59
OPM %,10.71,10.24,11.97,12.95
Other Income,0.06,0.03,0.09,0.04
Interest,0.67,0.75,0.74,0.81
Depreciation,0.47,0.55,0.49,0.28
Profit before tax,0.99,1.08,3.02,4.54
Tax %,5.05,-2.78,1.32,31.94
Net Profit,0.94,1.1,2.97,3.1
EPS in Rs,2.35,2.75,7.42,5.74
