,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17.04,17.04,17.04,17.04,17.04,17.04,17.04
Reserves,22.57,25.47,26.69,26.79,28.28,30.56,31.99
Borrowings,2.32,5.02,11.22,11.13,11.11,13.83,14.43
Other Liabilities,7.81,11.13,11.14,8.71,10.06,9.99,10.47
Total Liabilities,49.74,58.66,66.09,63.67,66.49,71.42,73.93
Fixed Assets,12.59,15.49,17.57,15.95,15.85,15.65,15.13
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,37.15,43.17,48.52,47.72,50.64,55.77,58.8
Total Assets,49.74,58.66,66.09,63.67,66.49,71.42,73.93
