,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,8.94,14.63,14.84,9.62,18.23,19.51,21.71,23.43,26.23,26.2
Expenses,6.16,12.87,12.48,10.75,14.39,18.32,19.18,22.97,23.49,23.14
Operating Profit,2.78,1.76,2.36,-1.13,3.84,1.19,2.53,0.46,2.74,3.06
OPM %,31.1,12.03,15.9,-11.75,21.06,6.1,11.65,1.96,10.45,11.68
Other Income,0.31,0.31,0.72,0.33,0.53,0.9,0.69,2.16,0.62,0.32
Interest,0.21,0.55,0.69,0.56,0.65,0.71,0.85,0.73,0.78,0.82
Depreciation,1.11,1.1,1.19,1.07,1.07,0.95,1.02,0.88,1.02,0.84
Profit before tax,1.77,0.42,1.2,-2.43,2.65,0.43,1.35,1.01,1.56,1.72
Tax %,32.2,85.71,45.0,2.06,7.55,23.26,8.89,14.85,10.26,14.53
Net Profit,1.2,0.06,0.65,-2.38,2.46,0.33,1.23,0.86,1.39,1.48
EPS in Rs,0.7,0.17,0.25,-1.52,1.58,0.25,0.62,0.5,0.82,0.87
