,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.52,25.77,29.12,27.51,40.8,49.26,52.43
Expenses,23.5,19.11,24.78,24.67,37.07,46.04,46.63
Operating Profit,8.02,6.66,4.34,2.84,3.73,3.22,5.80
OPM %,25.44,25.84,14.9,10.32,9.14,6.54,11.06
Other Income,0.18,0.73,0.89,0.82,1.59,2.76,0.94
Interest,2.16,0.51,1.33,1.3,1.56,1.51,1.60
Depreciation,1.82,1.97,2.29,2.14,1.97,1.9,1.86
Profit before tax,4.22,4.91,1.61,0.22,1.79,2.57,3.28
Tax %,26.3,28.92,55.9,68.18,12.29,12.06,
Net Profit,3.11,3.5,0.72,0.07,1.57,2.26,2.87
EPS in Rs,1.83,2.05,0.16,0.02,0.79,1.19,1.69
