,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,28,28,28,28,28,28,28,28,28,28,28,28,28
Reserves,1354,1368,1395,1446,1474,1493,1516,1547,1542,1367,1379,1395,1424
Borrowings,261,721,1257,1040,1013,818,809,652,552,427,273,281,397
Other Liabilities,221,356,427,270,319,333,296,236,349,444,627,705,533
Total Liabilities,1864,2472,3108,2784,2834,2672,2649,2463,2471,2266,2307,2408,2381
Fixed Assets,533,1008,2188,1871,1928,1808,1817,1719,1654,1609,1580,1526,1431
CWIP,48,23,0,1,38,26,43,8,8,12,29,5,55
Investments,30,30,30,30,4,4,4,4,0,0,0,0,0
Other Assets,1252,1412,890,882,864,834,786,733,809,645,698,877,895
Total Assets,1864,2472,3108,2784,2834,2672,2649,2463,2471,2266,2307,2408,2381
