,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,677.0,716.0,712.0,722.0,750.0,707.0,738.0,838.0,791.0,608.0,745.0,872.0,855
Expenses,629.0,669.0,684.0,723.0,691.0,665.0,726.0,839.0,771.0,586.0,722.0,851.0,839
Operating Profit,48.0,47.0,28.0,-1.0,59.0,42.0,12.0,-1.0,20.0,23.0,23.0,21.0,16
OPM %,7.0,7.0,4.0,-0.0,8.0,6.0,2.0,-0.0,3.0,4.0,3.0,2.0,2
Other Income,4.0,0.0,1.0,-20.0,4.0,6.0,-9.0,15.0,13.0,105.0,10.0,41.0,-10
Interest,4.0,5.0,4.0,6.0,5.0,2.0,3.0,6.0,5.0,2.0,1.0,4.0,4
Depreciation,9.0,10.0,12.0,13.0,17.0,15.0,16.0,13.0,11.0,15.0,14.0,13.0,17
Profit before tax,38.0,31.0,12.0,-39.0,40.0,31.0,-16.0,-6.0,17.0,111.0,17.0,44.0,-15
Tax %,31.0,32.0,-4.0,21.0,26.0,26.0,25.0,-58.0,-6.0,23.0,26.0,8.0,
Net Profit,26.0,22.0,13.0,-31.0,30.0,23.0,-12.0,-9.0,18.0,86.0,12.0,41.0,-12
EPS in Rs,28.82,23.42,13.66,-33.65,32.37,24.88,-12.84,-10.15,20.1,93.58,13.5,44.65,-13.54
