,2023-09-01
Depreciation,0.05
EPS in Rs,1.06
Expenses,62.66
Interest,1.5
Net Profit,1.88
OPM %,5.82
Operating Profit,3.87
Other Income,0.04
Profit before tax,2.36
Sales,66.53
Tax %,20.34
