,2023-03-01
Depreciation,0.05
EPS in Rs,0.76
Expenses,30.85
Interest,0.93
Net Profit,0.94
OPM %,6.77
Operating Profit,2.24
Other Income,0.06
Profit before tax,1.32
Sales,33.09
Tax %,28.79
